,fbstock_change
2020-11-09 hr21,-11.100000000000023
2020-11-10 hr01,-0.6700000000000159
2020-11-10 hr03,-0.6700000000000159
2020-11-10 hr04,-0.6700000000000159
2020-11-10 hr05,-0.6700000000000159
2020-11-10 hr06,-0.6700000000000159
2020-11-10 hr08,-0.6700000000000159
2020-11-10 hr09,-0.6700000000000159
2020-11-10 hr10,-0.6700000000000159
2020-11-10 hr11,-0.6700000000000159
2020-11-10 hr12,-0.6700000000000159
2020-11-10 hr13,-0.6700000000000159
2020-11-10 hr14,-0.6700000000000159
2020-11-10 hr15,-0.6700000000000159
2020-11-10 hr16,-0.6700000000000159
2020-11-10 hr17,-0.6700000000000159
2020-11-10 hr19,-0.6700000000000159
2020-11-10 hr20,-0.6700000000000159
2020-11-10 hr21,-0.6700000000000159
2020-11-10 hr22,-0.6700000000000159
2020-11-11 hr00,3.009999999999991
2020-11-11 hr01,3.009999999999991
2020-11-11 hr02,3.009999999999991
2020-11-11 hr03,3.009999999999991
2020-11-11 hr05,3.009999999999991
2020-11-11 hr06,3.009999999999991
2020-11-11 hr07,3.009999999999991
2020-11-11 hr08,3.009999999999991
2020-11-11 hr09,3.009999999999991
2020-11-11 hr10,3.009999999999991
2020-11-11 hr11,3.009999999999991
2020-11-11 hr12,3.009999999999991
2020-11-11 hr13,3.009999999999991
2020-11-11 hr14,3.009999999999991
2020-11-11 hr15,3.009999999999991
2020-11-11 hr17,3.009999999999991
2020-11-11 hr18,3.009999999999991
2020-11-11 hr20,3.009999999999991
2020-11-12 hr01,-2.1000000000000227
2020-11-12 hr02,-2.1000000000000227
2020-11-12 hr03,-2.1000000000000227
2020-11-12 hr08,-2.1000000000000227
2020-11-12 hr09,-2.1000000000000227
2020-11-12 hr10,-2.1000000000000227
2020-11-12 hr11,-2.1000000000000227
2020-11-12 hr12,-2.1000000000000227
2020-11-12 hr13,-2.1000000000000227
2020-11-12 hr14,-2.1000000000000227
2020-11-12 hr15,-2.1000000000000227
2020-11-12 hr16,-2.1000000000000227
2020-11-12 hr17,-2.1000000000000227
2020-11-12 hr19,-2.1000000000000227
2020-11-12 hr22,-2.1000000000000227
2020-11-13 hr01,-0.7700000000000387
2020-11-13 hr02,-0.7700000000000387
2020-11-13 hr03,-0.7700000000000387
2020-11-13 hr06,-0.7700000000000387
2020-11-13 hr07,-0.7700000000000387
2020-11-13 hr08,-0.7700000000000387
2020-11-13 hr09,-0.7700000000000387
2020-11-13 hr10,-0.7700000000000387
2020-11-13 hr11,-0.7700000000000387
2020-11-13 hr12,-0.7700000000000387
2020-11-13 hr13,-0.7700000000000387
2020-11-13 hr14,-0.7700000000000387
2020-11-13 hr15,-0.7700000000000387
2020-11-13 hr16,-0.7700000000000387
2020-11-13 hr18,-0.7700000000000387
2020-11-13 hr20,-0.7700000000000387
2020-11-13 hr21,-0.7700000000000387
2020-11-14 hr00,3.909999999999968
2020-11-14 hr07,3.909999999999968
2020-11-14 hr08,3.909999999999968
2020-11-14 hr09,3.909999999999968
2020-11-14 hr10,3.909999999999968
2020-11-14 hr12,3.909999999999968
2020-11-14 hr14,3.909999999999968
2020-11-14 hr16,3.909999999999968
2020-11-14 hr18,3.909999999999968
2020-11-14 hr19,3.909999999999968
2020-11-14 hr22,3.909999999999968
2020-11-15 hr01,3.909999999999968
2020-11-15 hr04,3.909999999999968
2020-11-15 hr05,3.909999999999968
2020-11-15 hr07,3.909999999999968
2020-11-15 hr09,3.909999999999968
2020-11-15 hr10,3.909999999999968
2020-11-15 hr11,3.909999999999968
2020-11-15 hr12,3.909999999999968
2020-11-15 hr13,3.909999999999968
2020-11-15 hr17,3.909999999999968
2020-11-15 hr19,3.909999999999968
2020-11-15 hr21,3.909999999999968
2020-11-16 hr00,3.909999999999968
2020-11-16 hr02,3.909999999999968
2020-11-16 hr04,3.909999999999968
2020-11-16 hr05,3.909999999999968
2020-11-16 hr06,3.909999999999968
2020-11-16 hr07,3.909999999999968
2020-11-16 hr08,3.909999999999968
2020-11-16 hr09,3.909999999999968
2020-11-16 hr10,3.909999999999968
2020-11-16 hr11,3.909999999999968
2020-11-16 hr12,3.909999999999968
2020-11-16 hr13,3.909999999999968
2020-11-16 hr14,3.909999999999968
2020-11-16 hr17,3.909999999999968
2020-11-16 hr18,3.909999999999968
2020-11-16 hr19,3.909999999999968
2020-11-16 hr20,3.909999999999968
